flight_id,customer_id,flight_date,origin,destination,ticket_class,booking_value
64c1b6b5-2df2-4ec9-addc-69e6dcc396cb,1000,2024-09-28 11:26:22,HAN,PQC,business,14499148
17b64e62-b19b-4203-b1ec-10f8154f33b2,1000,2024-01-04 13:20:51,SGN,DAD,economy,1976381
4458cc4c-a85b-4a18-9e7e-6f8fed7d91cc,1000,2025-08-03 02:38:33,SGN,SIN,business,6390558
2111f5ae-7b67-4bcf-9ea4-378342e64b90,1000,2024-04-13 18:18:16,HAN,BKK,business,14519414
3a5ab572-8f0a-4db2-8baa-7112bd3bc079,1000,2024-08-13 13:43:00,SGN,SIN,business,5967753
a7f530f3-e8ff-49b2-9d80-b3f4db8b0d3a,1000,2024-01-16 21:50:51,HAN,PQC,economy,2776655
62513eef-750d-4f34-8620-febf899349be,1000,2025-01-01 10:05:16,HAN,BKK,business,11599415
6a073108-9aeb-403d-99bf-0da03411db36,1000,2025-07-17 07:54:30,SGN,SIN,business,14973865
b372ab70-82a7-4d5e-9655-09eb0dd2a593,1000,2024-10-05 11:28:23,HAN,BKK,business,12551446
5faeca05-93af-409a-afcb-27619020f1ba,1000,2024-03-11 15:54:58,SGN,HAN,business,10174861
472f4281-4ea2-4da6-ae82-f6252e60efbe,1000,2024-04-29 16:26:46,HAN,PQC,business,14454836
e4082215-4c36-448c-b372-6c8ba7aac015,1000,2024-03-18 15:28:16,SGN,HAN,economy,1968175
4f8bdbb9-d16b-48e8-b3a4-b40281b699bb,1000,2024-08-14 05:42:54,SGN,DAD,business,12070097
f2a9e722-1626-49b9-b243-1f46b73af6a4,1000,2025-01-09 23:00:18,HAN,BKK,business,10628916
9495a696-4a7e-49dc-8da9-62b28b49d245,1000,2025-03-20 11:48:31,HAN,PQC,business,10262289
b1df1d96-f58a-48d5-9974-2b36afadd2f4,1000,2024-12-04 03:37:23,SGN,DAD,business,13628761
ffb49a3f-7d88-4316-9da8-1a8b24f8a2b8,1001,2024-05-28 23:39:11,HAN,PQC,economy,2799216
e8b5e6bb-3cbc-4692-9908-73fd5ff36524,1001,2024-12-18 09:15:27,HAN,PQC,economy,1818784
de31c679-dd3a-4373-87db-17d98dcf1b1f,1001,2025-02-24 14:35:01,SGN,DAD,economy,2255720
3ac6c86c-71de-4c23-a88d-8431921ec159,1001,2024-12-12 10:30:52,SGN,DAD,economy,2497122
f24bfa54-8049-4dbc-843d-c335d7b72915,1001,2024-08-06 04:20:58,SGN,DAD,economy,2208008
1b5e6dce-680a-40ed-b52a-208534b05f7c,1001,2024-09-29 13:42:01,SGN,HAN,economy,2104908
8d81e8bc-8d70-4c3c-a3f2-ef1f2f406840,1002,2024-10-11 16:32:54,SGN,HAN,economy,2831648
d631724f-4c5b-47bd-9d18-e78324e8e726,1002,2024-05-25 17:02:35,SGN,HAN,economy,2540951
70557179-a099-49ad-91c2-785994d2f343,1002,2024-05-01 09:50:42,SGN,DAD,economy,2581414
84dea8df-c8f9-41a1-9dd5-1e90bab87e02,1002,2025-05-27 01:11:24,SGN,HAN,economy,2061050
902f77ae-2a15-4c24-aaab-fc49ff0c2bb9,1002,2024-11-23 21:56:42,SGN,HAN,economy,1721886
152b2d29-d65b-42de-928f-fe6ea21cd515,1002,2024-06-30 21:07:20,HAN,PQC,economy,1728340
2306b361-f8f0-4972-8cbc-1747065b383b,1002,2024-11-03 15:34:02,HAN,PQC,economy,1966017
c66c5fc7-cfb3-4d10-b66c-ce1f6695115a,1002,2024-12-21 06:08:57,HAN,PQC,economy,2347559
f9c82cda-d4f6-4034-9578-06d0ff6c45bf,1003,2024-06-29 20:05:42,SGN,HAN,business,10724268
6f4b3559-d140-4a2c-b0df-12e82ceb0a68,1003,2024-10-12 01:30:22,HAN,PQC,business,11814163
43668c8c-5e95-4f4c-af3c-29ca5b5def95,1003,2024-05-16 15:11:41,SGN,SIN,business,6417857
55833d48-8c26-4000-b4bb-3d39cffbe99a,1003,2025-07-22 19:19:23,SGN,DAD,business,13955304
5c4f6814-1123-4657-9a60-be4f5c464de4,1003,2025-03-17 08:09:34,SGN,SIN,business,5467221
2d287cc9-fd3e-4e18-b2d2-bf985d9630a9,1003,2024-05-25 13:20:29,HAN,BKK,business,11773669
2b7101c8-1727-43db-892c-77d678631544,1003,2024-01-22 13:36:36,SGN,HAN,business,8586105
faaf4e02-0124-4dbd-925e-58b1badf776e,1003,2024-05-16 14:12:24,HAN,PQC,economy,2972739
d34c38d4-f4f4-483c-afd9-c58dc37b8ebe,1003,2024-05-01 10:48:14,HAN,PQC,business,11950549
5a41904e-547f-483d-ad62-cac7e5490ac2,1003,2024-03-21 04:09:22,HAN,BKK,business,11231254
02de9b70-2122-44fd-8352-ae989eb148f0,1003,2024-07-27 17:48:25,SGN,DAD,economy,1856238
3420dce2-b1e7-4cb2-9a2c-9345a7e91728,1003,2025-01-08 20:30:32,SGN,HAN,business,10041041
3f8123b3-1aff-4ad3-9536-57a35838528f,1003,2024-05-01 16:32:21,SGN,DAD,economy,2889813
faea8557-e615-4dba-82d8-a043f8f7d528,1003,2025-04-13 14:40:49,HAN,BKK,business,5481810
40d128c0-e644-44cc-a2a3-a0c5fa7b3242,1003,2024-08-21 18:44:37,SGN,HAN,business,13206495
601a7914-da5e-4cf2-ad53-f4136e9bd2db,1003,2024-02-03 19:47:57,HAN,PQC,economy,1786049
b965e3b5-e472-43e3-af77-c55a5b8fc6f2,1003,2024-10-30 21:36:54,HAN,BKK,business,10692222
45c6400e-517c-45ad-b27f-75d8beaffc5a,1003,2025-05-16 18:42:37,SGN,DAD,business,11305380
885f7ff2-db92-474e-8db3-4bc289996eea,1003,2025-03-03 16:38:25,SGN,HAN,economy,2991781
a48eb48b-2dc1-40ef-9a9f-502c18be54e6,1003,2024-01-29 13:06:36,SGN,DAD,economy,2683592
49d9a8fd-7309-46a2-8869-7b6816dcaa0f,1003,2024-06-26 22:34:07,SGN,DAD,business,8225135
e7d50e79-8dfd-4bcb-b50f-7fdc56327ad0,1003,2024-12-17 15:22:19,SGN,DAD,economy,2728644
003d23c5-2706-45f0-bb10-81fd4f5b2a9a,1003,2024-02-23 22:30:51,SGN,DAD,economy,2323730
6ea7b856-4ffb-461b-b302-ba98f8d63e55,1003,2024-10-09 12:53:45,SGN,SIN,business,11609958
0c2865cc-4ca8-4abe-b78b-1edddbcb8bd4,1003,2024-02-08 18:29:04,SGN,DAD,business,11630931
c24b2042-0fb4-4a06-aa83-c48ef25c7abb,1003,2025-08-01 16:37:02,SGN,DAD,economy,2616171
0d6d3ee2-398f-4e22-8822-cb1bcc287210,1003,2024-12-12 16:01:56,SGN,HAN,business,8086452
b4cf7ccc-ab81-4635-b5f5-cc5d7b259aff,1003,2024-10-27 08:34:22,HAN,PQC,business,14951301
0ef6351a-f749-4558-8835-e651f2dbc3dc,1003,2024-04-24 02:00:55,SGN,DAD,business,14197175
0d5927e2-0a5b-4564-9539-8bc6a28c20ea,1003,2025-07-10 08:20:06,SGN,HAN,business,8712498
4ff72de3-eeeb-4aca-95be-1f071cf015b3,1003,2024-08-22 08:38:06,SGN,HAN,economy,2857889
20f6bc46-5470-4a34-84be-d1f7fad96628,1003,2024-01-02 23:30:55,HAN,BKK,business,13854630
333c8ced-f244-4ba8-8fb9-a598f480baa0,1003,2024-11-09 18:16:14,SGN,HAN,business,8693590
0be431c2-b68a-4421-88f5-d09d96214e71,1003,2024-12-14 13:07:55,SGN,HAN,business,6152403
99d52f0b-e18a-41f8-a739-40010618b28e,1003,2025-04-03 00:20:14,SGN,HAN,economy,2897100
71150250-9d49-46e3-8c06-ccf11c79d63d,1003,2024-01-20 00:12:11,SGN,SIN,business,11971083
c8a6e6a7-7b15-4058-8ba0-bdc8c4bae99e,1003,2024-02-02 09:22:57,HAN,PQC,business,11703510
4a7785e6-87e9-426b-ab63-8535dd9a5b38,1003,2024-10-08 03:59:16,HAN,BKK,business,11388711
bf540da4-7ed8-4015-a05f-dd3e03ed2a61,1003,2024-01-06 10:44:26,HAN,PQC,economy,2502824
9920365a-7b39-4d5e-ac3a-c38707016b07,1003,2025-05-19 14:10:06,SGN,SIN,business,14563230
fc1f9a04-dbf1-4417-baa4-8c82cc6a155d,1004,2025-05-04 06:29:43,SGN,DAD,economy,2441016
dce7d7dc-8c60-4ceb-a0d3-eb16eacd6f19,1004,2024-12-01 11:31:43,HAN,PQC,economy,2309351
2da52b73-6bf6-4299-ba6c-8168f82b2b25,1005,2024-04-27 14:18:24,SGN,HAN,economy,2226220
2195c555-5bed-437a-b5a5-75d67be0ef8c,1005,2024-04-02 04:24:59,SGN,HAN,economy,2408335
84d6c3aa-427e-403d-9449-d6028d4285fd,1005,2024-02-28 22:39:34,SGN,DAD,economy,2390504
0c2188ad-48b1-41e2-859b-6c41b18399dc,1005,2024-05-28 22:47:44,SGN,HAN,economy,1575857
f08a426a-192c-4ac9-acb7-355d3a6b009e,1005,2024-10-05 10:44:56,HAN,PQC,economy,1843935
e1087350-1786-4e9f-b330-0f808f70eaaa,1005,2024-09-20 18:21:32,HAN,PQC,economy,2046310
a96bacc1-88b5-4460-85f6-47e538888ae2,1005,2024-05-18 06:42:42,SGN,HAN,economy,1563713
3f1d4c06-c55b-44d3-adeb-9b5529ab8f8c,1005,2024-12-20 14:49:12,SGN,HAN,economy,1505671
f95f67ec-0445-41dc-88b2-59e47dc4b50d,1006,2024-11-10 13:02:54,SGN,DAD,economy,2552550
346795a4-e942-43db-ae05-0ef827aa47d4,1006,2025-04-26 00:51:35,SGN,HAN,business,14311607
43ae5ccc-1198-40a4-8bb1-0dd1c2942a49,1006,2024-05-23 15:46:46,HAN,BKK,business,8188371
06ce1bb0-39fc-4b4d-a301-cbd7f2faf686,1006,2025-08-05 16:51:28,HAN,BKK,business,11449464
53f44099-9540-43f0-99ca-c7f9023176fc,1006,2024-03-26 12:14:51,SGN,DAD,economy,2992857
20e63d47-052a-4e4f-ad77-8c65a57be3af,1006,2024-06-24 10:42:30,HAN,PQC,economy,1529744
626f583c-775e-479e-8fe8-da16e2405a39,1006,2024-10-10 21:40:26,HAN,BKK,business,7010960
15e67e14-2dfe-4598-b1f9-eac5e3119961,1006,2025-04-20 11:46:31,SGN,DAD,business,12998246
81405557-2d4b-48cb-bbed-8fe4b11de542,1006,2024-05-28 05:00:23,HAN,PQC,business,5128268
1d39b083-2d24-4fbb-b8ff-03d649e9b085,1006,2024-05-13 00:25:41,SGN,DAD,economy,1958603
3d4df75e-2409-49bf-9a66-32832f34e80f,1006,2025-05-04 14:20:59,SGN,HAN,economy,1538020
cb60fb5d-9495-40e3-9dfc-8656bee609cf,1006,2025-08-12 07:28:28,SGN,HAN,business,14693288
50d90dc4-0c7a-4ee9-95d7-df21b809b2b2,1006,2025-02-25 21:10:05,SGN,HAN,business,8041056
826b1705-b2e4-4edd-9811-20cab25912cd,1006,2024-09-09 09:27:30,SGN,HAN,economy,2759178
00ce0491-c470-488a-9fd7-3471d86c8ba9,1006,2024-12-31 01:59:05,SGN,SIN,business,14714062
05425cbb-c1f5-4929-af41-2bff1b43135f,1006,2024-09-16 04:32:28,HAN,PQC,business,10790751
204ccf9b-6f04-4110-a14f-04e9c9ca4934,1006,2024-03-26 01:28:12,SGN,HAN,business,14367676
3d4fb9a7-0e20-4343-804b-681fdcfd0401,1006,2025-05-17 21:33:27,SGN,DAD,economy,1734081
f2791f32-2726-4aca-be05-539891eb5092,1006,2024-04-27 06:33:56,HAN,PQC,business,5288806
0f48b132-cf3c-4970-b44b-81d253c3a0e8,1006,2025-01-31 06:51:38,HAN,PQC,business,8842090
c5d05a32-8ec2-4095-919e-b960fc7f3c2f,1006,2025-01-10 14:13:30,SGN,DAD,business,12297298
a05b9f8a-e6e1-4463-9eeb-08f27abb7565,1006,2025-01-29 14:37:28,HAN,BKK,business,9518188
8102ae6e-ad4a-40c4-9d82-9e620a4efcf8,1007,2024-01-26 02:09:32,SGN,DAD,economy,1745608
3750eebd-b1b1-4bb2-9758-87feb2a8a823,1007,2024-10-05 05:21:47,HAN,PQC,economy,2815726
7c6359b5-725c-4fb8-b8b5-bccde5950ca8,1007,2024-02-22 13:10:50,HAN,PQC,economy,2955815
7892d84e-2957-456e-99c2-a984bc7991b9,1008,2024-05-31 22:22:25,SGN,DAD,business,7306095
6f49a2f5-bfcc-47dd-a832-4f1023c3cdda,1008,2025-04-19 19:05:46,SGN,SIN,business,7139371
6eec47d9-15f2-4d45-9d9d-bdc4c7f841aa,1008,2024-04-30 10:49:48,SGN,SIN,business,9824617
954e00b5-189f-4b25-a89f-ea63d1d1bd58,1008,2025-07-07 08:04:04,SGN,SIN,business,10131897
918a36ad-ab19-4b6b-842c-dc8ce9307799,1008,2024-07-31 14:30:56,HAN,BKK,business,14050215
2d114b8c-48bb-4a54-b17b-4a90d085e53c,1008,2025-05-05 18:42:52,HAN,PQC,business,5533942
e87bf510-8053-4edc-91e4-5a67fd4cfe6c,1008,2024-05-18 15:55:54,HAN,PQC,economy,2994664
f8a67347-1334-48dc-8b40-716e515dbfde,1008,2024-02-23 07:46:00,SGN,SIN,business,5028850
8c3245d2-e145-4501-bf66-adf1195b56ab,1008,2024-10-18 04:43:03,SGN,HAN,business,5967474
3ca668ea-cca9-454b-bc5e-ac737bbf75ca,1008,2024-02-11 21:04:53,HAN,BKK,business,11889277
0bccd967-6e81-4020-8c35-483495491f53,1008,2024-05-12 23:53:57,HAN,PQC,business,5903563
484f3ba7-3c5c-4d26-a705-116e57ff42e1,1008,2024-08-21 22:24:08,SGN,HAN,economy,2438182
174a18f5-4e72-4281-bcd6-b253c4b9dde6,1008,2024-03-17 06:03:07,HAN,PQC,economy,2533177
1c21f6b2-a435-460b-986a-34eab02b1cfb,1008,2025-02-22 13:17:28,SGN,DAD,business,13067787
781487c4-6952-4b6b-a2dd-670730993f62,1008,2025-07-04 18:45:42,SGN,SIN,business,8287970
80226150-198a-42bb-a9af-14b37b98f8e3,1008,2025-05-19 10:11:35,SGN,HAN,business,6065001
ef723f71-2782-4e29-9999-bbd613bd71df,1008,2024-02-08 05:23:49,SGN,SIN,business,8659942
c585be32-6640-4e7e-8ac3-14ae11164831,1008,2025-02-10 15:41:01,SGN,DAD,business,6285702
3deb3874-9e7a-42fe-9013-2344fa1e5ebe,1008,2024-09-19 06:47:38,SGN,DAD,economy,1748623
3d19dc9b-3283-443a-b98f-31937f9742c3,1008,2025-06-14 21:26:58,HAN,PQC,business,6742792
160dcc90-c480-4561-9921-ef8973d9d0bc,1008,2024-06-07 21:52:42,SGN,HAN,business,14306041
b29e84dd-8fe8-4743-862d-608c34caefca,1008,2024-12-07 17:07:19,HAN,PQC,business,9056458
